Model,MSO4102B-L
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1
Horizontal Delay,0
Sample Interval,0.0001
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-3.02
,
,
,
Label,
TIME,CH1
-4.925000e+00,0.058
-4.924900e+00,0.0596
-4.924800e+00,0.0572
-4.924700e+00,0.058
-4.924600e+00,0.058
-4.924500e+00,0.0596
-4.924400e+00,0.0588
-4.924300e+00,0.0604
-4.924200e+00,0.0596
-4.924100e+00,0.0596
-4.924000e+00,0.0596
-4.923900e+00,0.0596
-4.923800e+00,0.0588
-4.923700e+00,0.0588
-4.923600e+00,0.058
-4.923500e+00,0.0596
-4.923400e+00,0.0596
-4.923300e+00,0.0596
-4.923200e+00,0.0588
-4.923100e+00,0.0588
-4.923000e+00,0.0596
-4.922900e+00,0.0588
-4.922800e+00,0.058
-4.922700e+00,0.058
-4.922600e+00,0.0588
-4.922500e+00,0.0588
-4.922400e+00,0.0588
-4.922300e+00,0.0588
-4.922200e+00,0.058
-4.922100e+00,0.0588
-4.922000e+00,0.0596
-4.921900e+00,0.0596
-4.921800e+00,0.0588
-4.921700e+00,0.058
-4.921600e+00,0.0588
-4.921500e+00,0.0588
-4.921400e+00,0.058
-4.921300e+00,0.0588
-4.921200e+00,0.0596
-4.921100e+00,0.0596
-4.921000e+00,0.0588
-4.920900e+00,0.0604
-4.920800e+00,0.058
-4.920700e+00,0.0588
-4.920600e+00,0.058
-4.920500e+00,0.0588
-4.920400e+00,0.0588
-4.920300e+00,0.0596
-4.920200e+00,0.0588
-4.920100e+00,0.0588
-4.920000e+00,0.058
-4.919900e+00,0.0596
-4.919800e+00,0.0596
-4.919700e+00,0.0588
-4.919600e+00,0.0588
-4.919500e+00,0.0588
-4.919400e+00,0.058
-4.919300e+00,0.0596
-4.919200e+00,0.058
-4.919100e+00,0.0604
-4.919000e+00,0.058
-4.918900e+00,0.0596
-4.918800e+00,0.0588
-4.918700e+00,0.0596
-4.918600e+00,0.0596
-4.918500e+00,0.0588
-4.918400e+00,0.0588
-4.918300e+00,0.0596
-4.918200e+00,0.0596
-4.918100e+00,0.0596
-4.918000e+00,0.058
-4.917900e+00,0.0596
-4.917800e+00,0.0596
-4.917700e+00,0.0596
-4.917600e+00,0.0596
-4.917500e+00,0.0588
-4.917400e+00,0.0588
-4.917300e+00,0.0596
-4.917200e+00,0.0588
-4.917100e+00,0.0596
-4.917000e+00,0.0596
-4.916900e+00,0.0588
-4.916800e+00,0.054
-4.916700e+00,0.058
-4.916600e+00,0.0588
-4.916500e+00,0.0588
-4.916400e+00,0.0588
-4.916300e+00,0.0588
-4.916200e+00,0.0588
-4.916100e+00,0.0596
-4.916000e+00,0.0588
-4.915900e+00,0.0612
-4.915800e+00,0.0588
-4.915700e+00,0.0588
-4.915600e+00,0.0596
-4.915500e+00,0.0596
-4.915400e+00,0.0588
-4.915300e+00,0.0604
-4.915200e+00,0.0588
-4.915100e+00,0.0596
-4.915000e+00,0.0588
-4.914900e+00,0.058
-4.914800e+00,0.0588
-4.914700e+00,0.0596
-4.914600e+00,0.0596
-4.914500e+00,0.0596
-4.914400e+00,0.0588
-4.914300e+00,0.0588
-4.914200e+00,0.0588
-4.914100e+00,0.058
-4.914000e+00,0.0588
-4.913900e+00,0.0588
-4.913800e+00,0.0604
-4.913700e+00,0.058
-4.913600e+00,0.058
-4.913500e+00,0.0588
-4.913400e+00,0.0588
-4.913300e+00,0.0572
-4.913200e+00,0.0588
-4.913100e+00,0.0596
-4.913000e+00,0.0588
-4.912900e+00,0.0588
-4.912800e+00,0.0596
-4.912700e+00,0.0596
-4.912600e+00,0.0596
-4.912500e+00,0.0596
-4.912400e+00,0.0596
-4.912300e+00,0.0596
-4.912200e+00,0.0588
-4.912100e+00,0.0596
-4.912000e+00,0.0596
-4.911900e+00,0.0596
-4.911800e+00,0.0596
-4.911700e+00,0.0596
-4.911600e+00,0.0596
-4.911500e+00,0.058
-4.911400e+00,0.0596
-4.911300e+00,0.0596
-4.911200e+00,0.0596
-4.911100e+00,0.0604
-4.911000e+00,0.0596
-4.910900e+00,0.0596
-4.910800e+00,0.0588
-4.910700e+00,0.0596
-4.910600e+00,0.0612
-4.910500e+00,0.0596
-4.910400e+00,0.0596
-4.910300e+00,0.0588
-4.910200e+00,0.0596
-4.910100e+00,0.0588
-4.910000e+00,0.0596
-4.909900e+00,0.0596
-4.909800e+00,0.0596
-4.909700e+00,0.0588
-4.909600e+00,0.0596
-4.909500e+00,0.0604
-4.909400e+00,0.0596
-4.909300e+00,0.0596
-4.909200e+00,0.0588
-4.909100e+00,0.0604
-4.909000e+00,0.0596
-4.908900e+00,0.0596
-4.908800e+00,0.0596
-4.908700e+00,0.0588
-4.908600e+00,0.0604
-4.908500e+00,0.0596
-4.908400e+00,0.0596
-4.908300e+00,0.0596
-4.908200e+00,0.0588
-4.908100e+00,0.0596
-4.908000e+00,0.0596
-4.907900e+00,0.0596
-4.907800e+00,0.0596
-4.907700e+00,0.0604
-4.907600e+00,0.0604
-4.907500e+00,0.0588
-4.907400e+00,0.0588
-4.907300e+00,0.0588
-4.907200e+00,0.058
-4.907100e+00,0.0588
-4.907000e+00,0.0604
-4.906900e+00,0.0596
-4.906800e+00,0.0596
-4.906700e+00,0.0588
-4.906600e+00,0.058
-4.906500e+00,0.058
-4.906400e+00,0.058
-4.906300e+00,0.0588
-4.906200e+00,0.0596
-4.906100e+00,0.0596
-4.906000e+00,0.0596
-4.905900e+00,0.0588
-4.905800e+00,0.0596
